105,Grossratswahlen Thurgau,2016-04-10,https://www.smartvote.ch/16_tg_leg/election/index
106,Stadtratswahlen Luzern,2016-05-01,https://www.smartvote.ch/16_st_luzern_exe/election/index
107,Wahl des Grossen Stadtrats Luzern,2016-05-01,https://www.smartvote.ch/16_st_luzern_leg/election/index
108,Regierungsratswahlen St. Gallen 2. Wahlgang,2016-04-24,https://www.smartvote.ch/16_sg_exe2/election/index
109,Regierungsratswahlen Uri 2. Wahlgang,2016-04-10,https://www.smartvote.ch/16_ur_exe2/election/index
110,Stadtratswahlen Luzern 2. Wahlgang,2016-06-05,https://www.smartvote.ch/16_st_luzern_exe2/election/index
111,Stadtparlamentswahlen Wil,2016-09-25,https://www.smartvote.ch/16_wil_leg/election/index
112,Stadtratswahlen Wil,2016-09-25,https://www.smartvote.ch/16_wil_exe/election/index
113,Stadtpräsidiumswahlen Wil,2016-09-25,https://www.smartvote.ch/16_wil_praes/election/index
114,Wahl Vorsteher/in Bildungsdepartement Stadt Wil,2016-09-25,https://www.smartvote.ch/16_wil_bild/election/index
115,Stadtratswahlen Biel,2016-09-25,https://www.smartvote.ch/16_biel_leg/election/index
121,Gemeinderatswahlen Biel,2016-09-25,https://www.smartvote.ch/16_biel_exe/election/index
122,Grossratswahlen Aargau,2016-10-23,https://www.smartvote.ch/16_ag_leg/election/index
123,Grossratswahlen Basel-Stadt,2016-10-23,https://www.smartvote.ch/16_bs_leg/election/index
132,Regierungsratswahlen Aargau,2016-10-23,https://www.smartvote.ch/16_ag_exe/election/index
133,Regierungsratswahlen Basel-Stadt,2016-10-23,https://www.smartvote.ch/16_bs_exe/election/index
134,Grossratswahlen Freiburg,2016-11-06,https://www.smartvote.ch/16_fr_leg/election/index
135,Staatsratswahlen Freiburg,2016-11-06,https://www.smartvote.ch/16_fr_exe/election/index
136,Wahl des Grossen Gemeinderats Worb,2016-11-27,https://www.smartvote.ch/16_worb_leg/election/index
138,Wahl des Grossen Gemeinderats Muri b. Bern,2016-11-27,https://www.smartvote.ch/16_muri_leg/election/index
139,Gemeinderatswahlen Muri b. Bern,2016-11-27,https://www.smartvote.ch/16_muri_exe/election/index
141,Stadtratswahlen Bern,2016-11-27,https://www.smartvote.ch/16_st_bern_leg/election/index
142,Gemeinderatswahlen Bern,2016-11-27,https://www.smartvote.ch/16_st_bern_exe/election/index
143,Gemeinderatswahlen Worb,2016-11-27,https://www.smartvote.ch/16_worb_exe/election/index
145,Stadtpräsidiumswahl Bern,2016-11-27,https://www.smartvote.ch/16_st_bern_praes/election/index
146,Regierungsratswahlen Basel-Stadt 2. Wahlgang,2016-11-27,https://www.smartvote.ch/16_bs_exe2/election/index
147,Regierungsratswahlen Aargau 2. Wahlgang,2016-11-27,https://www.smartvote.ch/16_ag_exe2/election/index
148,Staatsratswahlen Freiburg 2. Wahlgang,2016-11-27,https://www.smartvote.ch/16_fr_exe2/election/index
149,Landtagswahlen Liechtenstein,2017-02-05,https://www.smartvote.ch/17_fl_leg2/election/index
150,Stadtpräsidiumswahl Bern 2. Wahlgang,2017-01-15,https://www.smartvote.ch/16_s_bern_praes2/election/index
153,Gemeindepräsidiumswahl Worb 2. Wahlgang,2016-12-18,https://www.smartvote.ch/16_worb_praes/election/index
154,Kantonsratswahlen Solothurn,2017-03-12,https://www.smartvote.ch/17_so_leg/election/index
155,Regierungsratswahlen Solothurn,2017-03-12,https://www.smartvote.ch/17_so_exe/election/index
156,Grossratswahlen Wallis,2017-03-05,https://www.smartvote.ch/17_vs_leg/election/index
